Region,Pixels,Min,Max,Mean,Median,Std,Peak(Cleaned),RawPeak(Artifact)
Apollo Center,1711534,9.7579,23.0236,18.1819,18.2146,1.4447,18.3682,21.9072
Apollo East,69285,8.5815,21.7157,17.1101,17.4791,1.5422,17.9366,
Apollo West,585857,8.0610,21.9377,16.7368,16.3270,2.2119,16.3828,21.9072
CE6_F,1281209,9.8841,23.7553,18.0504,18.1137,0.9087,18.1955,18.1955
CE6_L,296311,11.5871,21.9377,16.5403,16.5031,1.0759,16.5555,16.5555
Combined,3944196,8.0610,23.7553,17.7824,17.8715,1.5518,18.2819,21.9072
