Region,Pixels,Min,Max,Mean,Median,Std,Peak
Apollo Center,1613791,27.8530,65.3491,42.3046,41.5149,4.6934,41.3354
Apollo East,69285,31.8164,65.1555,46.7891,45.2062,5.6223,44.9350
Apollo West,512189,30.8996,64.7598,49.8179,50.2850,5.4272,54.4634
CE6_F,1273672,26.8503,62.5680,42.4528,42.2528,3.4069,42.1824
CE6_L,289858,33.0297,62.4044,49.1094,49.3809,4.2356,50.2286
Combined,3758795,26.8503,65.3491,43.9860,42.8024,5.3088,41.7589
